Date : 2023-12-23 04:12:14
Directory : /home/manuareraa/Personal/github/personal/sierra-sih23/frontend
Total : 59 files,  27261 codes, 553 comments, 527 blanks, all 28341 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/locales/en.js                       | JavaScript     |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/locales/en/messages.js              | JavaScript     |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/locales/hi.js                       | JavaScript     |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/locales/hi/messages.js              | JavaScript     |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/main.jsx                            | JavaScript JSX |         19 |          0 |          5 |         24 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Five/ContentCreation.jsx      | JavaScript JSX |        901 |         36 |         47 |        984 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Five/ContentSearch.jsx        | JavaScript JSX |        229 |         26 |         18 |        273 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Five/QPPDFViewer.jsx          | JavaScript JSX |         28 |          1 |          4 |         33 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Four/LearningPlatformHome.jsx | JavaScript JSX |        780 |         35 |         47 |        862 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Homepage.jsx                  | JavaScript JSX |        103 |          8 |         10 |        121 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/One/Recruit.jsx               | JavaScript JSX |        128 |          1 |          7 |        136 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/One/TeacherView.jsx           | JavaScript JSX |        289 |         30 |         29 |        348 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/One/Teachers.jsx              | JavaScript JSX |         79 |          9 |          7 |         95 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Three/StudentLogin.jsx        | JavaScript JSX |         49 |          1 |          5 |         55 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Three/StudentViewThree.jsx    | JavaScript JSX |        751 |         37 |         33 |        821 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Two/Login.jsx                 | JavaScript JSX |         49 |          1 |          5 |         55 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Two/StudentView.jsx           | JavaScript JSX |        567 |         33 |         25 |        625 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/Two/ViewMyProfile.jsx         | JavaScript JSX |        970 |        181 |         59 |      1,210 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/verify/VerifyCert.jsx         | JavaScript JSX |         39 |          1 |          5 |         45 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/verify/VerifyCertView.jsx     | JavaScript JSX |          8 |          0 |          3 |         11 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/verify/VerifySbt.jsx          | JavaScript JSX |         39 |          1 |          5 |         45 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/pages/verify/VerifySbtView.jsx      | JavaScript JSX |          8 |          0 |          3 |         11 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/smart-contract/abi.json             | JSON           |        830 |          0 |          0 |        830 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/smart-contract/sbt-student.sol      | Solidity       |        158 |         36 |         26 |        220 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/smart-contract/studentAbi.json      | JSON           |      1,004 |          0 |          0 |      1,004 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/translation/languages.jsx           | JavaScript JSX |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/utils/AppContext.jsx                | JavaScript JSX |      1,638 |         21 |         56 |      1,715 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/utils/PrivateRouteGuard.jsx         | JavaScript JSX |         12 |          1 |          4 |         17 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/utils/pyvenv.cfg                    | Properties     |          8 |          0 |          1 |          9 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/src/utils/tools.jsx                     | JavaScript JSX |          8 |          0 |          3 |         11 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/tailwind.config.js                      | JavaScript     |         13 |          2 |          2 |         17 |
| /home/manuareraa/Personal/github/personal/sierra-sih23/frontend/vite.config.js                          | JavaScript     |         25 |          1 |          2 |         28 |
| Total                                                                                                   |                |     27,261 |        553 |        527 |     28,341 |
+---------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
